0,1,2,3,4,5
9113.90.90,00,8,"錶帶、錶箍及錶手鐲帶及其零件，其他材料製者
Watch straps, watch bands and watch bracelets,
and parts thereof, of other materials",,
9114,,,"其他鐘錶零件
Other clock or watch parts",,
9114.30,,,"鐘錶面
Dials",,
9114.30.00,,,"鐘錶面
Dials, clock or watch",,
9114.30.00,10,7,"鐘面
Dials, clock",,
9114.30.00,20,5,"錶面
Dials, watch",,
9114.40,,,"底盤及橋
Plates and bridges",,
9114.40.00,,,"鐘錶底盤及橋
Plates and bridges, clock or watch",,
9114.40.00,00,7,"鐘錶底盤及橋
Plates and bridges, clock or watch",,
9114.90,,,"其他
Other",,
9114.90.00,,,"其他鐘錶零件
Other clock or watch parts",,
9114.90.00,00,6,"其他鐘錶零件
Other clock or watch parts",,
